authors,title,journal,doc_type,total_cited,doi,doi_link,pub_year,is_climate,dropped,dropped_why,data_statement,code_statement,data_statement_where,code_statement_where,data_open,code_open,data_repo,code_repo,data_included,data_limitation_other,code_included,data_reasons,code_reasons,notes
"Kuittinen, N; Jalkanen, JP; Alanen, J; Ntziachristos, L; Hannuniemi, H; Johansson, L; Karjalainen, P; Saukko, E; Isotalo, M; Aakko-Saksa, P; Lehtoranta, K; Keskinen, J; Simonen, P; Saarikoski, S; Asmi, E; Laurila, T; Hillamo, R; Myllari, F; Lihavainen, H; Timonen, H; Ronkko, T",Shipping Remains a Globally Significant Source of Anthropogenic PN Emissions Even after 2020 Sulfur Regulation,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,27,10.1021/acs.est.0c03627,http://dx.doi.org/10.1021/acs.est.0c03627,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Lebel, ED; Finnegan, CJ; Ouyang, ZT; Jackson, RB","Methane and NOx Emissions from Natural Gas Stoves, Cooktops, and Ovens in Residential Homes",ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,26,10.1021/acs.est.1c04707,http://dx.doi.org/10.1021/acs.est.1c04707,2022,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"He, QF; Tomaz, S; Li, CL; Zhu, M; Meidan, D; Riva, M; Laskin, A; Brown, SS; George, C; Wang, XM; Rudich, Y",Optical Properties of Secondary Organic Aerosol Produced by Nitrate Radical Oxidation of Biogenic Volatile Organic Compounds,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,26,10.1021/acs.est.0c06838,http://dx.doi.org/10.1021/acs.est.0c06838,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Yang, YY; Liu, L; Zhang, F; Zhang, XY; Xu, W; Liu, XJ; Wang, Z; Xie, YW",Soil Nitrous Oxide Emissions by Atmospheric Nitrogen Deposition over Global Agricultural Systems,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,25,10.1021/acs.est.0c08004,http://dx.doi.org/10.1021/acs.est.0c08004,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Fang, Y; Chen, YJ; Huang, GP; Hu, LM; Tian, CG; Xie, JQ; Lin, J; Lin, T","Particulate and Dissolved Black Carbon in Coastal China Seas: Spatiotemporal Variations, Dynamics, and Potential Implications",ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,24,10.1021/acs.est.0c06386,http://dx.doi.org/10.1021/acs.est.0c06386,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Cheng, Y; Elrys, AS; Merwad, ARM; Zhang, HM; Chen, ZX; Zhang, JB; Cai, ZC; Muller, C",Global Patterns and Drivers of Soil Dissimilatory Nitrate Reduction to Ammonium,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,23,10.1021/acs.est.1c07997,http://dx.doi.org/10.1021/acs.est.1c07997,2022,1,,,The data that support the findings of this study are available from the corresponding author upon reasonable request.,Nothing,Notes,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Reasonable Request,Nothing,
"Wang, QF; Qi, JY; Qiu, H; Li, J; Cole, J; Waldhoff, S; Zhang, XS",Pronounced Increases in Future Soil Erosion and Sediment Deposition as Influenced by Freeze-Thaw Cycles in the Upper Mississippi River Basin,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,23,10.1021/acs.est.1c02692,http://dx.doi.org/10.1021/acs.est.1c02692,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Jiang, JJ; Ye, B; Shao, S; Zhou, N; Wang, DS; Zeng, ZZ; Liu, JG","Two-Tier Synergic Governance of Greenhouse Gas Emissions and Air Pollution in China's Megacity, Shenzhen: Impact Evaluation and Policy Implication",ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,23,10.1021/acs.est.0c06952,http://dx.doi.org/10.1021/acs.est.0c06952,2021,1,,,"Input data sets that support the current study concern the following: (i) GHG emission inventory and air pollutant emission inventory of Shenzhen in 2015, which are collected from the Ecology and Environment Bureau and Development and Reform Commission of Shenzhen Municipality, respectively. There are limitations to the availability of these data because of the confidentiality agreement required by Shenzhen’s official agencies. (ii) Sector-specific energy consumption is collected from the Shenzhen Statistical Yearbook 2016 (http://tjj.sz.gov.cn/zwgk/zfxxgkml/tjsj/tjnj/content/post_3085973.html) and the Statistics Bureau of Shenzhen Municipality, with the GHG emission factor of various types of energy collected from Shenzhen’s Guidance for Verification of the Organization-level Greenhouse Gas Emissions (https://www.sist.org.cn/xwzx/tzgg/201805/t20180523_2230811.html). (iii) Sector-specific generation coefficient and removal coefficient of major air pollutants are gathered from the Environmental Science Research Institute of Shenzhen. (iv) Key parameters of Shenzhen’s socioeconomic development for the period 2016–2030 are drawn from the 13th Five-Year Development Planning of Shenzhen and the Sustainable Development Planning of Shenzhen (2017–2030), together with interviews with urban competent departments and local experts, and are available in Supporting Information Tables S2 and S3. (v) Technologies or measures employed to reduce GHG emissions or air pollutant emissions in different scenarios, as well as their potentials in emission reductions, are generated from extensive industrial surveys and expert interviews (the list of available technologies or measures is available in Supporting Information Table S4). The resulting data set is available from the lead contact on request.","Input data sets that support the current study concern the following: (i) GHG emission inventory and air pollutant emission inventory of Shenzhen in 2015, which are collected from the Ecology and Environment Bureau and Development and Reform Commission of Shenzhen Municipality, respectively. There are limitations to the availability of these data because of the confidentiality agreement required by Shenzhen’s official agencies. (ii) Sector-specific energy consumption is collected from the Shenzhen Statistical Yearbook 2016 (http://tjj.sz.gov.cn/zwgk/zfxxgkml/tjsj/tjnj/content/post_3085973.html) and the Statistics Bureau of Shenzhen Municipality, with the GHG emission factor of various types of energy collected from Shenzhen’s Guidance for Verification of the Organization-level Greenhouse Gas Emissions (https://www.sist.org.cn/xwzx/tzgg/201805/t20180523_2230811.html). (iii) Sector-specific generation coefficient and removal coefficient of major air pollutants are gathered from the Environmental Science Research Institute of Shenzhen. (iv) Key parameters of Shenzhen’s socioeconomic development for the period 2016–2030 are drawn from the 13th Five-Year Development Planning of Shenzhen and the Sustainable Development Planning of Shenzhen (2017–2030), together with interviews with urban competent departments and local experts, and are available in Supporting Information Tables S2 and S3. (v) Technologies or measures employed to reduce GHG emissions or air pollutant emissions in different scenarios, as well as their potentials in emission reductions, are generated from extensive industrial surveys and expert interviews (the list of available technologies or measures is available in Supporting Information Table S4). The resulting data set is available from the lead contact on request.",Notes,Notes,Partially Closed,Closed,Supporting Information,Nothing,Raw,URLs,Nothing,Confidentiality Agreement; Nothing,Nothing,
"Calderon-Garciduenas, L; Ayala, A","Air Pollution, Ultrafine Particles, and Your Brain: Are CombustionNanoparticle Emissions and Engineered Nanoparticles CausingPreventable Fatal Neurodegenerative Diseases and CommonNeuropsychiatric Outcomes?",ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,22,10.1021/acs.est.1c04706,http://dx.doi.org/10.1021/acs.est.1c04706,2022,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Irakulis-Loitxate, I; Guanter, L; Maasakkers, JD; Zavala-Araiza, D; Aben, I",Satellites Detect Abatable Super-Emissions in One of the World's Largest Methane Hotspot Regions,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,22,10.1021/acs.est.1c04873,http://dx.doi.org/10.1021/acs.est.1c04873,2022,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Dods, MN; Kim, EJ; Long, JR; Weston, SC",Deep CCS: Moving Beyond 90% Carbon Dioxide Capture,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,22,10.1021/acs.est.0c07390,http://dx.doi.org/10.1021/acs.est.0c07390,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Tu, QS; Parvatker, A; Garedew, M; Harris, C; Eckelman, M; Zimmerman, JB; Anastas, PT; Lam, CH",Electrocatalysis for Chemical and Fuel Production: Investigating Climate Change Mitigation Potential and Economic Feasibility,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,22,10.1021/acs.est.0c07309,http://dx.doi.org/10.1021/acs.est.0c07309,2021,1,,,Nothing,The equations for TEA calculations are included in the “TEA_user_input_Dec.29 sim results_template.xlsx” and has been uploaded to github repo: https://github.com/SusBioRes-UBC/LacticAcid (XLSX),,Supplementary Info,Closed,Partially Closed,Nothing,GitHub,Nothing,,Excel Template,Nothing,Nothing,
"Sadavarte, P; Pandey, S; Maasakkers, JD; Lorente, A; Borsdorff, T; van der Gon, HD; Houweling, S; Aben, I",Methane Emissions from Superemitting Coal Mines in Australia Quantified Using TROPOMI Satellite Observations,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,21,10.1021/acs.est.1c03976,http://dx.doi.org/10.1021/acs.est.1c03976,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Droz, B; Payraudeau, S; Martin, JAR; Toth, G; Panagos, P; Montanarella, L; Borrelli, P; Imfeld, G",Copper Content and Export in European Vineyard Soils Influenced by Climate and Soil Properties,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,21,10.1021/acs.est.0c02093,http://dx.doi.org/10.1021/acs.est.0c02093,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Gan, Y; Lu, ZF; He, X; Hao, CX; Wang, YJ; Cai, H; Wang, M; Elgowainy, A; Przesmitzki, S; Bouchard, J",Provincial Greenhouse Gas Emissions of Gasoline and Plug-in Electric Vehicles in China: Comparison from the Consumption-Based Electricity Perspective,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,21,10.1021/acs.est.0c08217,http://dx.doi.org/10.1021/acs.est.0c08217,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Krebs, B; Burney, J; Zivin, JG; Neidell, M",Using Crowd-Sourced Data to Assess the Temporal and Spatial Relationship between Indoor and Outdoor Particulate Matter,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,21,10.1021/acs.est.0c08469,http://dx.doi.org/10.1021/acs.est.0c08469,2021,0,1,framing not climate change focused,,,,,,,,,,,,,,
"Fonseca, FR; Craig, M; Jaramillo, P; Berges, M; Severnini, E; Loew, A; Zhai, HB; Cheng, YF; Nijssen, B; Voisin, N; Yearsley, J",Effects of Climate Change on Capacity Expansion Decisions of an Electricity Generation Fleet in the Southeast US,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,21,10.1021/acs.est.0c06547,http://dx.doi.org/10.1021/acs.est.0c06547,2021,,,,Raw data set files are available at https://doi.org/10.5281/zenodo.4323531.,Simulation code is available at https://github.com/kikoralston/RIPS.,Notes,Notes,Partially Closed,Partially Closed,Zenodo,GitHub,Raw,,Model,Nothing,Nothing,
"Wang, NJ; Ernle, L; Beko, G; Wargocki, P; Williams, J",Emission Rates of Volatile Organic Compounds from Humans,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,20,10.1021/acs.est.1c08764,http://dx.doi.org/10.1021/acs.est.1c08764,2022,0,1,framing not climate change focused,,,,,,,,,,,,,,
"Ma, MC; Gao, Y; Ding, AJ; Su, H; Liao, H; Wang, SX; Wang, XM; Zhao, B; Zhang, SQ; Fu, PQ; Guenther, AB; Wang, MH; Li, SS; Chu, BW; Yao, XH; Gao, HW",Development and Assessment of a High-Resolution Biogenic Emission Inventory from Urban Green Spaces in China,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,20,10.1021/acs.est.1c06170,http://dx.doi.org/10.1021/acs.est.1c06170,2022,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Purahong, W; Wahdan, SFM; Heinz, D; Jariyavidyanont, K; Sungkapreecha, C; Tanunchai, B; Sansupa, C; Sadubsarn, D; Alaneed, R; Heintz-Buschart, A; Schadler, M; Geissler, A; Kressler, J; Buscot, F",Back to the Future: Decomposability of a Biobased and Biodegradable Plastic in Field Soil Environments and Its Microbiome under Ambient and Future Climates,ENVIRONMENTAL SCIENCE & TECHNOLOGY,Article,20,10.1021/acs.est.1c02695,http://dx.doi.org/10.1021/acs.est.1c02695,2021,1,,,The Illumina sequencing of prokaryotic and fungal datasets is deposited in The National Center for Biotechnology Information (NCBI) database under BioProject ID: PRJNA595487 (https://www.ncbi.nlm.nih.gov/bioproject/PRJNA595487). Microbial taxonomic and relative abundance information is provided in the Supporting Information (Tables S1–S3).,,Notes,,Partially Closed,Closed,National Center for Biotechnology Information,Nothing,Raw,,Nothing,Nothing,Nothing,
"Potapov, P; Li, XY; Hernandez-Serna, A; Tyukavina, A; Hansen, MC; Kommareddy, A; Pickens, A; Turubanova, S; Tang, H; Silva, CE; Armston, J; Dubayah, R; Blair, JB; Hofton, M",Mapping global forest canopy height through integration of GEDI and Landsat data,REMOTE SENSING OF ENVIRONMENT,Article,301,10.1016/j.rse.2020.112165,http://dx.doi.org/10.1016/j.rse.2020.112165,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Jia, MM; Wang, ZM; Mao, DH; Ren, CY; Wang, C; Wang, YQ","Rapid, robust, and automated mapping of tidal flats in China using time series Sentinel-2 images and Google Earth Engine",REMOTE SENSING OF ENVIRONMENT,Article,103,10.1016/j.rse.2021.112285,http://dx.doi.org/10.1016/j.rse.2021.112285,2021,0,1,framing not climate change focused,,,,,,,,,,,,,,
"Liu, AB; Cheng, X; Chen, ZQ",Performance evaluation of GEDI and ICESat-2 laser altimeter data for terrain and canopy height retrievals,REMOTE SENSING OF ENVIRONMENT,Article,87,10.1016/j.rse.2021.112571,http://dx.doi.org/10.1016/j.rse.2021.112571,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Jiao, WZ; Wang, LX; McCabe, MF","Multi-sensor remote sensing for drought characterization: current status, opportunities and a roadmap for the future",REMOTE SENSING OF ENVIRONMENT,Article,81,10.1016/j.rse.2021.112313,http://dx.doi.org/10.1016/j.rse.2021.112313,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Abowarda, AS; Bai, LL; Zhang, CJ; Long, D; Li, XY; Huang, Q; Sun, ZL",Generating surface soil moisture at 30 m spatial resolution using both data fusion and machine learning toward better water resources management at the field scale,REMOTE SENSING OF ENVIRONMENT,Article,72,10.1016/j.rse.2021.112301,http://dx.doi.org/10.1016/j.rse.2021.112301,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Peng, J; Dan, YZ; Qiao, RL; Liu, YX; Dong, JQ; Wu, JS",How to quantify the cooling effect of urban parks? Linking maximum and accumulation perspectives,REMOTE SENSING OF ENVIRONMENT,Article,72,10.1016/j.rse.2020.112135,http://dx.doi.org/10.1016/j.rse.2020.112135,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Blickensdorfer, L; Schwieder, M; Pflugmacher, D; Nendel, C; Erasmi, S; Hostert, P","Mapping of crop types and crop sequences with combined time series of Sentinel-1, Sentinel-2 and Landsat 8 data for Germany",REMOTE SENSING OF ENVIRONMENT,Article,70,10.1016/j.rse.2021.112831,http://dx.doi.org/10.1016/j.rse.2021.112831,2022,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Wulder, MA; Roy, DP; Radeloff, VC; Loveland, TR; Anderson, MC; Johnson, DM; Healey, S; Zhu, Z; Scambos, TA; Pahlevan, N; Hansen, M; Gorelick, N; Crawford, CJ; Masek, JG; Hermosilla, T; White, JC; Belward, AS; Schaaf, C; Woodcock, CE; Huntington, JL; Lymburner, L; Hostert, P; Gao, F; Lyapustin, A; Pekel, JF; Strobl, P; Cook, BD",Fifty years of Landsat science and impacts,REMOTE SENSING OF ENVIRONMENT,Article,63,10.1016/j.rse.2022.113195,http://dx.doi.org/10.1016/j.rse.2022.113195,2022,1,1,Review article,,,,,,,,,,,,,,
"Ma, YC; Zhang, Z; Kang, YH; Ozdogan, M",Corn yield prediction and uncertainty analysis based on remotely sensed variables using a Bayesian neural network approach,REMOTE SENSING OF ENVIRONMENT,Article,59,10.1016/j.rse.2021.112408,http://dx.doi.org/10.1016/j.rse.2021.112408,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"d'Andrimont, R; Verhegghen, A; Lemoine, G; Kempeneers, P; Meroni, M; van der Velde, MV",From parcel to continental scale-A first European crop type map based on Sentinel-1 and LUCAS Copernicus in-situ observations,REMOTE SENSING OF ENVIRONMENT,Article,57,10.1016/j.rse.2021.112708,http://dx.doi.org/10.1016/j.rse.2021.112708,2021,1,,,The EU crop map masked with the non-vegetation classes and steep slopes is available for download and visualization (https://data.jrc.ec.europa.eu/dataset/15f86c84-eae1-4723-8e00-c1b35c8f56b9),"Additionaly, the code to generate the results along with the figures of the manuscript is available on https://github.com/ec-jrc/eucropmap.",Data dissemination and code,Data dissemination and code,Partially Closed,Partially Closed,Joint Research Centre Data Catalogue,GitHub,Results,,Generate Results; Figures,Nothing,Nothing,
"Bilal, M; Mhawish, A; Nichol, JE; Qiu, ZF; Nazeer, M; Ali, MA; de Leeuw, G; Levy, RC; Wang, Y; Chen, Y; Wang, LC; Shi, Y; Bleiweiss, MP; Mazhar, U; Atique, L; Ke, S",Air pollution scenario over Pakistan: Characterization and ranking of extremely polluted cities using long-term concentrations of aerosols and trace gases,REMOTE SENSING OF ENVIRONMENT,Article,56,10.1016/j.rse.2021.112617,http://dx.doi.org/10.1016/j.rse.2021.112617,2021,1,,,"The authors would like to acknowledge NASA's Level-1 and Atmosphere Archive and Distribution System (LAADS) Distributed Active Archive Center (DAAC) (https://ladsweb.modaps.eosdis.nasa.gov/) for MODIS data, the Copernicus Atmosphere Monitoring Service (CAMS) for air quality data (PM1, PM2.5, and PM10), the Goddard Earth Science DISC (https://daac.gsfc.nasa.gov/) for OMI data, Principal Investigators of Lahore AERONET site, and the NOAA Air Resources Laboratory (ARL) for the provision of the HYSPLIT air parcel back trajectories (https://www.ready.noaa.gov) used in this publication. The authors are grateful to Mr. Abid Omar, founder of Pakistan Air Quality Initiative (PAQI), and gratefully acknowledge the U.S. Department of State for providing the open access ground-based PM2.5 data. The authors also acknowledge the use of data from NASA's Fire Information for Resource Management System (FIRMS) (https://earthdata.nasa.gov/firms), part of NASA's Earth Observing System Data and Information System (EOSDIS). The authors are thankful to Mr. Pravash Tiwari for helping in PSCF analysis and Dr. Devin White (Oak Ridge National Laboratory) for MODIS Conversion Tool Kit (MCTK).",,Acknowledgements,,Closed,Closed,Nothing,Nothing,Nothing,URLs,Nothing,Nothing,Nothing,
"Meroni, M; d'Andrimont, R; Vrieling, A; Fasbender, D; Lemoine, G; Rembold, F; Seguini, L; Verhegghen, A",Comparing land surface phenology of major European crops as derived from SAR and multispectral data of Sentinel-1 and-2,REMOTE SENSING OF ENVIRONMENT,Article,52,10.1016/j.rse.2020.112232,http://dx.doi.org/10.1016/j.rse.2020.112232,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
"Bishop-Taylor, R; Nanson, R; Sagar, S; Lymburner, L",Mapping Australia's dynamic coastline at mean sea level using three decades of Landsat imagery,REMOTE SENSING OF ENVIRONMENT,Article,51,10.1016/j.rse.2021.112734,http://dx.doi.org/10.1016/j.rse.2021.112734,2021,1,,,"DEA Coastlines is available as an interactive web service on the DEA Maps platform (https://maps.dea.ga.gov.au/#share=s-DEACoastlines). Detailed product metadata and a downloadable CC BY 4.0-licensed dataset (Bishop-Taylor et al., 2021) are available on the official product description (https://cmi.ga.gov.au/data-products/dea/581/dea-coastlines). All code used to generate the product is available on Github under a permissive Apache-2.0 license (https://github.com/GeoscienceAustralia/dea-coastlines).","DEA Coastlines is available as an interactive web service on the DEA Maps platform (https://maps.dea.ga.gov.au/#share=s-DEACoastlines). Detailed product metadata and a downloadable CC BY 4.0-licensed dataset (Bishop-Taylor et al., 2021) are available on the official product description (https://cmi.ga.gov.au/data-products/dea/581/dea-coastlines). All code used to generate the product is available on Github under a permissive Apache-2.0 license (https://github.com/GeoscienceAustralia/dea-coastlines).",Data and code availability,Data and code availability,Partially Closed,Partially Closed,Digital Earth Australia,GitHub,Results,,Generate Results,Nothing,Nothing,
"Xing, ZP; Fan, L; Zhao, L; De Lannoy, G; Frappart, F; Peng, J; Li, XJ; Zeng, JY; Al-Yaari, A; Yang, K; Zhao, TJ; Shi, JC; Wang, MJ; Liu, XZ; Hu, GJ; Xiao, Y; Du, EJ; Li, R; Qiao, YP; Shi, JZ; Wen, JG; Ma, MG; Wigneron, JP",A first assessment of satellite and reanalysis estimates of surface and root-zone soil moisture over the permafrost region of Qinghai-Tibet Plateau,REMOTE SENSING OF ENVIRONMENT,Article,50,10.1016/j.rse.2021.112666,http://dx.doi.org/10.1016/j.rse.2021.112666,2021,1,,,Nothing,Nothing,,,Closed,Closed,Nothing,Nothing,Nothing,,Nothing,Nothing,Nothing,
