title,doi,issn,year,cited_wos_core,is_climate,data_statement,data_avail,data_some,code_statement,code_avail,code_some,dropped,dropped_why,notes,proprietary cited (including license needed),coi stated
Climate warming enhances microbial network complexity and stability,10.1038/s41558-021-00989-9,1758-678X,2021,308,1,"16S rRNA gene sequences were deposited to the National Center for Biotechnology Information (NCBI) under the project accession number PRJNA331185. The OTU table and OTU representative sequences, soil physical and chemical attributes, and plant biomass and richness are downloadable online at http://www.ou.edu/ieg/publications/datasets. GeoChip signal intensity data can be accessed through the URL (https://www.ou.edu/ieg/publications/datasets). Source data are provided with this paper",0,1,The R scripts and Python 3 scripts are publicly available on GitHub at https://github.com/Mengting-Maggie-Yuan/warming-network-complexity-stability with the identifier https://doi.org/10.5281/zenodo.4383469.,1,1,,,I don't think the links provided are examples of permanent and persistent,0,0
Global maps of twenty-first century forest carbon fluxes,10.1038/s41558-020-00976-6,1758-678X,2021,222,1,Geospatial data generated from the current study are publicly available on Global Forest Watch’s Open Data Portal (http://data.globalforestwatch.org/) and from the corresponding author upon request. Summary geospatial statistics are available from the corresponding author upon request. All data inputs used in the current study are publicly available or were obtained by the corresponding author,0,1,"To ensure full reproducibility and transparency of our research, we provide all of the scripts used in our analysis. Codes used for this study are permanently and publicly available on GitHub (https://github.com/wri/carbon-budget).",0,1,,,"some of the data is not under a persistent identifier or seemingly available, the code is ""permanently"" available on github but not at a permanent identifier/link",0,0
Global terrestrial water storage and drought severity under climate change,10.1038/s41558-020-00972-w,1758-678X,2021,186,1,The model results are freely available from the ISIMIP project portal (https://www.isimip.org/outputdata/) and the two GRACE products used for model evaluation can be obtained from http://www2.csr.utexas.edu/grace/ and https://podaac.jpl.nasa.gov/GRACE. The processed data used to generate the figures in the main text are available on CUAHSI HydroShare and Figshare (https://doi.org/10.6084/m9.figshare.13218710).,0,1,"All figures were produced using the freely available visualization libraries in Python 3.5 (such as Matplotlib), and statistical analysis was performed using built-in functions in Python 3.5. The relevant portions of the computer code used to process the results and develop the figures are available at https://doi.org/10.5281/zenodo.4266999.",0,1,,,"statement does not indicate all code, just ""relevant"" code, the raw data is not behind a persistent and permanent link",0,0
The burden of heat-related mortality attributable to recent human-induced climate change,10.1038/s41558-021-01058-x,1758-678X,2021,171,1,An example dataset is made available from https://github.com/anavica/mcc_ccattr_NCC and archived in the open repository ‘BORIS’ of the University of Bern under https://doi.org/10.48350/155666.,0,1,A sample of the code to reproduce the analysis is made available from https://github.com/anavica/mcc_ccattr_NCC and archived in the open repository ‘BORIS’ of the University of Bern under https://doi.org/10.48350/155666.,0,1,,,"statement suggests ""example"" and ""sample"" of data and code",0,0
Anthropogenic climate change has slowed global agricultural productivity growth,10.1038/s41558-021-01000-1,1758-678X,2021,163,1,Data and code necessary to fully reproduce results in this study are deposited in a permanent online repository at the Cornell Institute for Social and Economic Research (CISER): https://doi.org/10.6077/pfsd-0v93.,1,1,Data and code necessary to fully reproduce results in this study are deposited in a permanent online repository at the Cornell Institute for Social and Economic Research (CISER): https://doi.org/10.6077/pfsd-0v93.,1,1,,,ideal statement,0,0
Potential and risks of hydrogen-based e-fuels in climate change mitigation,10.1038/s41558-021-01032-7,1758-678X,2021,118,1,The life-cycle analysis for passenger cars and trucks can be reproduced with the open-source tools carculator51 and carculator_truck68. The electrolysis cost and efficiency data are available in ref. 59. All other data are available from the corresponding author on request.,0,1,"The modified version of ecoinvent used in this analysis is generated from ecoinvent 3.7.1, which is available at https://github.com/romainsacchi/premise. The modified version is available from the authors on reasonable request.",0,0,,,modified version of code used in the analysis must be requested,0,0
Prioritizing forestation based on biogeochemical and local biogeophysical impacts,10.1038/s41558-021-01161-z,1758-678X,2021,116,1,"The data on the combined BGC and BGP impact of forestation and forest conservation, as well as the BGP impact on its own, are available on Zenodo (https://doi.org/10.5281/zenodo.5184884)39.",1,1,The Geospatial Data Abstraction Library v.2.4.1 and QGIS 2.18 were used with Python 3.6.5 to process and assess the described datasets. The code is available on Zenodo (https://doi.org/10.5281/zenodo.5211680)40 and GitHub (https://github.com/mikewin-climsci/BGPvBGC.git).,1,1,,,appears all data and code available,0,0
Rapid intensification of the emerging southwestern North American megadrought in 2020–2021,10.1038/s41558-022-01290-z,1758-678X,2022,114,1,The datasets used by and produced for this study are available at at https://doi.org/10.25921/8pt9-hz08.,1,1,The code for the analysis in this paper is available on request to the corresponding author.,0,0,,,request from corresponding author for code,0,0
Fossil CO2 emissions in the post-COVID-19 era,10.1038/s41558-021-01001-0,1758-678X,2021,105,1,The Global Carbon Project CO2 emissions data are available upon publication at https://www.icos-cp.eu/science-and-impact/global-carbon-budget/2020 with the daily emissions for year 2020 at https://www.icos-cp.eu/gcp-covid19. Territorial emissions to 2019 can also be accessed from globalcarbonatlas.org. Source data are provided with this paper.,0,1,A template for estimating changes in national emissions on the basis of the confinement index during the COVID-19 pandemic will be made available here: https://www.icos-cp.eu/gcp-covid19.,0,1,,,supposed to be provided after acceptance but links are not permanent identifiers (and not all the data & code can be found),0,0
Increasing probability of record-shattering climate extremes,10.1038/s41558-021-01092-9,1758-678X,2021,104,1,"All original CMIP5 and CMIP6 data, the CanESM2 and NCAR LENS ensembles, and the ERA5 reanalysis used in this study, are publicly available as follows: CMIP5 model data, https://esgf-node.llnl.gov/projects/cmip5/; CMIP6 model data, https://esgf-node.llnl.gov/projects/cmip6/; CanESM2 ensemble reanalysis, https://open.canada.ca/data/en/dataset/aa7b6823-fd1e-49ff-a6fb-68076a4a477c; NCAR LENS ensemble, https://www.cesm.ucar.edu/projects/community-projects/LENS/data-sets.html; and ECMWF5 ERA5 reanalysis, https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels. The output from CESM1.2 and CESM-CAM4 used in this analysis is available at https://data.iac.ethz.ch/Fischer_et_al_2021_RecordExtremes/.",0,1,All computer code to reproduce the main results and all figures are available at https://data.iac.ethz.ch/Fischer_et_al_2021_RecordExtremes/,0,1,,,"Lots of different links, but don't meet the criteria for a trusted repository. The code is also not in a trusted repository and not clear that it's all the code",0,0
Climate change impacts on renewable energy supply,10.1038/s41558-020-00949-9,1758-678X,2021,100,1,Source data are provided with this paper.,0,1,The code that produced the renewable energy potentials and cost curves can be found at https://github.com/davidgernaat. PBL holds the proprietary rights to the IMAGE computer code; extensive documentation is provided (https://models.pbl.nl/image).,0,1,,,Clear lacks of availability,1,0
Carbon loss from forest degradation exceeds that from deforestation in the Brazilian Amazon,10.1038/s41558-021-01026-5,1758-678X,2021,96,1,"The annual evergreen forest maps67 and AGB maps68 are freely available in GeoTIFF format at Figshare. The GFW product is available at http://earthenginepartners.appspot.com/science-2013-global-forest. The PRODES forest product is available at http://www.obt.inpe.br/OBT/assuntos/programas/amazonia/prodes. The MOD14A2, MOD16A2 and MCD64A1 products are available at https://lpdaac.usgs.gov/data/. The TRMM product is available at https://pmm.nasa.gov/data-access/downloads/trmm. The PAR product is from the NCEP/DOE 2 Reanalysis data provided by the NOAA/OAR/ESRL PSD, Boulder, Colorado, USA, from their website at https://www.esrl.noaa.gov/psd/.",0,1,The code for the evergreen forest mapping and spatial correlation analysis are freely available at Figshare69. The other data processing and analyses were done mainly in ArcMap (https://desktop.arcgis.com/en/arcmap/).,0,1,,,"They make code available, but other work was done in ArcMap which is proprietary and generally not reproducible. Appears that output data maps are available but not in a way that meets the available data criteria",1,0
"A global analysis of subsidence, relative sea-level change and coastal flood exposure",10.1038/s41558-021-00993-z,1758-678X,2021,94,1,All datasets used in the production of this paper are available from: https://doi.org/10.5281/zenodo.4434773 (ref. 65). The sea-level data are referenced under the following: https://doi.org/10.5270/esa-sea_level_cci-1993_2015-v_2.0-201612. It is freely available from: http://www.esa-sealevel-cci.org/products. Source data are provided with this paper.,1,1,"The R code used to produce the numbers, tables and figures is available from: https://doi.org/10.5281/zenodo.4434773 (ref. 65). Source data are provided with this paper.",0,1,,,They say all data is available but not that all code is available. It doesn't appear that model code is available,0,0
Soil moisture–atmosphere feedbacks mitigate declining water availability in drylands,10.1038/s41558-020-00945-z,1758-678X,2021,91,1,The GLACE-CMIP5 simulations are available from S.I.S. (sonia.seneviratne@ethz.ch) and the climate modelling groups upon reasonable request. All other data used in this study are available online. The CMIP5 model simulations are from https://esgf-node.llnl.gov/search/cmip5/. The ERA5 reanalysis data are from https://www.ecmwf.int/en/forecasts/datasets/archive-datasets/reanalysis-datasets/era5. The MERRA-2 reanalysis data are from https://gmao.gsfc.nasa.gov/reanalysis/MERRA-2/data_access/. The source data for the figures are publicly available (https://doi.org/10.6084/m9.figshare.12982880).,0,1,The code used for modelling and reanalysis data analyses is publicly available (https://doi.org/10.5281/zenodo.4041736).,1,1,,,"Some data requires request, appears all code available",0,0
Increasing risk of glacial lake outburst floods from future Third Pole deglaciation,10.1038/s41558-021-01028-3,1758-678X,2021,88,1,The Landsat datasets are freely available from the USGS data portal (https://glovis.usgs.gov/). The Randolph Glacier Inventory 6.0 (ref. 54) data are freely available at http://www.glims.org/RGI/. The ALOS Global Digital Surface Model (AW3D30 v2.2) is freely available at https://www.eorc.jaxa.jp/ALOS/en/aw3d30/index.htm. The Multi-Error-Removed Improved-Terrain (MERIT) DEM is freely available at http://hydro.iis.u-tokyo.ac.jp/~yamadai/MERIT_DEM/ on reasonable request. The OpenStreetMap data are freely obtained from http://www.openstreetmap.org/ and available under the Open Database License (http://www.openstreetmap.org/copyright). The composite glacier ice thickness data are available at https://www.research-collection.ethz.ch/handle/20.500.11850/315707. The produced glacial lake inventories and modelled future lakes as well as relevant assessment results are available at Zenodo under the identifier https://doi.org/10.5281/zenodo.4477945.,0,1,The GLOF hazard and risk assessment models are available at Zenodo under the identifier https://doi.org/10.5281/zenodo.4477947. Additional model or code used in this study are available from the corresponding authors on request.,0,1,,,Some data and code requires request,0,0
The meaning of net zero and how to get it right,10.1038/s41558-021-01245-w,1758-678X,2022,87,1,,,,,,,1,Perspective piece w/o data or code,,0,0
Plant pathogen infection risk tracks global crop yields under climate change,10.1038/s41558-021-01104-8,1758-678X,2021,86,1,The fungal and oomycete cardinal temperature data are available in Dryad42 (https://doi.org/10.5061/dryad.tqjq2bvw6) and from ref. 16. The data on annual crop yield projections used in this study are from the Inter-Sectoral Model Intercomparison Project (https://www.isimip.org). The fungal and oomycete host plant data and geographical distributions (the Plantwise database) were used under license for the current study and are available with permission from CABI. The FAOSTAT commodity list is available from http://www.fao.org. The global gridded climate data and climate projections are available from WorldClim (https://www.worldclim.org). The global gridded crop distribution data used in this study are available from EarthStat (https://www.earthstat.org) and MIRCA2000 (https://www.uni-frankfurt.de/45218031/data_download). The fungal and oomycete names and name disambiguation data were obtained from Species Fungorum (http://www.speciesfungorum.org/) and MycoBank (http://www.mycobank.org/). The annual per capita GDP (PPP) data were obtained from the World Bank (https://data.worldbank.org/). Coupled Model Intercomparison Project 5 single-level monthly near-surface RH data were obtained from the Climate Data Store (https://cds.climate.copernicus.eu). Administrative boundaries for the maps were obtained from GADM (https://www.gadm.org). The coastal outlines were obtained from package rworldmap version 1.3–6 for R version 4.0.1.,0,1,All analyses were conducted using existing functions for R version 4.0.1. No substantial custom code was used. R code used for data manipulation is available from the corresponding author on reasonable request.,0,0,,,"Some data appears proprietary. Lots of ""trusted"" repositories but not permanent identifiers. ""All analyses were conducted using existing functions for R version 4.0.1. No substantial custom code was used. R code used for data manipulation is available from the corresponding author on reasonable request.""",1,0
A proposed global layout of carbon capture and storage in line with a 2 °C climate target,10.1038/s41558-020-00960-0,1758-678X,2021,84,1,The data that support the plots within this paper and other findings of this study are available from the corresponding author upon reasonable request.,0,0,The codes that support the methods of this study are available from the corresponding author upon reasonable request.,0,0,,,Request required,0,0
Global multi-model projections of local urban climates,10.1038/s41558-020-00958-8,1758-678X,2021,82,1,All CMIP5 data used in this study are available at the CMIP5 archive via https://esgfnode.llnl.gov/projects/cmip5/ and the Climate Data Gateway at NCAR via https://www.earthsystemgrid.org/dataset/ucar.cgd.ccsm4.CESM_CAM5_BGC_LE.html for RCP 8.5 and https://www.earthsystemgrid.org/dataset/ucar.cgd.ccsm4.CESM_CAM5_BGC_ME.html for RCP 4.5. The output data from the emulator are available in the public repository—‘Illinois Data Bank’—via https://doi.org/10.13012/B2IDB-4585244_V1. Source data are provided with this paper.,0,1,"The R (https://www.R-project.org/) and NCL (The NCAR Command Language, https://doi.org/10.5065/D6WD3XH5) codes of the urban climate emulator are available on the NCAR Cheyenne cluster (https://doi.org/10.5065/D6RX99HX) and on Github (https://github.com/zhao-research-lab/urban_climate_emulator; https://doi.org/10.5281/zenodo.3893401). The CESM (used to perform the simulations) source code releases are available through the public GitHub repository (https://github.com/ESCOMP/CESM).",0,1,,,"The data is not in a permanent location. I can't even open the first link. Code is available, but ambiguous as to whether code for processing data and producing results is available - also available through github not a permanent release",0,0
A sustainable development pathway for climate action within the UN 2030 Agenda,10.1038/s41558-021-01098-3,1758-678X,2021,76,1,"The data and analysis scripts supporting the findings of this study112 are available at https://doi.org/10.5281/zenodo.4787613. The following publicly accessible datasets were used for the institutional quality and conflict fatalities models (Supplementary Information references): Varieties of Democracy (V-Dem) (Country–Year/Country–Data) Dataset v.10, the Uppsala Conflict Data Program (UCDP) Georeferenced Event Dataset (GED) Global v.20.1 and Population and Human Capital Stocks data by the Wittgenstein Centre. They can be accessed via the following links: https://www.v-dem.net/en/data/archive/previous-data/v-dem-dataset/; https://ucdp.uu.se/downloads/; http://dataexplorer.wittgensteincentre.org/wcde-v2/",1,1,Both REMIND and MAgPIE are available open source under the following links: REMIND: https://github.com/remindmodel/remind; MAgPIE: https://github.com/magpiemodel/magpie. The exact model versions used are: REMIND: https://github.com/bs538/remind/tree/SDP_runs; MAgPIE: https://github.com/magpiemodel/magpie/releases/tag/v4.2.1,0,1,,,"Github for code only, not clear if code for processing the raw inputs is shared",0,0
Increasing impact of warm droughts on northern ecosystem productivity over recent decades,10.1038/s41558-021-01112-8,1758-678X,2021,72,1,The data to reproduce and further interpret the main results presented are publicly available at figshare80. The TRENDY v.6 datasets applied in this study have been preprocessed by M.O. and are available from the University of Exeter (https://doi.org/10.24378/exe.2883) and on request. The original TRENDY v.6 datasets can be requested from S. Sitch (s.a.sitch@exeter.ac.uk) and P. Friedlingstein (p.friedlingstein@exeter.ac.uk). The FLUXCOM dataset is publicly available through the FLUXCOM data portal (https://www.bgc-jena.mpg.de/geodb/projects/FileDetails.php). The LUE datasets are provided by W.K.S. and publicly available at https://wkolby.org/data-code/. The CRUNCEP reanalysis data are available through the Climatic Research Unit data portal (https://crudata.uea.ac.uk/cru/data/ncep/#dataset_access).,0,1,All relevant codes to reproduce the figures presented in this study are publicly available at figshare (https://doi.org/10.6084/m9.figshare.14845005)80. Further codes and materials are available from D.G. on request.,0,1,,,"""The data to reproduce and further interpret the main results presented are publicly available at figshare"" and ""All relevant codes to reproduce the figures presented in this study are publicly available at figshare""",0,0
Pronounced loss of Amazon rainforest resilience since the early 2000s,10.1038/s41558-022-01287-8,1758-678X,2022,71,1,The VOD dataset is available from https://zenodo.org/record/2575599#.YHRE6RRKj7E. The NDVI dataset is available from https://www.ncei.noaa.gov/metadata/geoportal/rest/metadata/item/gov.noaa.ncdc:C01558/html. The MODIS Land Cover dataset is available from https://lpdaac.usgs.gov/products/mcd12c1v006. The CHIRPS precipitation dataset is available from https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_2-monthly/tifs. The Amazon basin shapefile is available from http://worldmap.harvard.edu/data/geonode:amapoly_ivb. Brazilian road data are available from https://datacatalog.worldbank.org/dataset/brazil-road-network-federal-and-state-highways. SST data from HadISST are available from https://www.metoffice.gov.uk/hadobs/hadisst/.,0,1,All data and code used for the analysis are available on request from the corresponding author and are published online57.,0,0,,,"Lots of raw data links, but nothing with permanent and persistent identifers and nothing about processed or final data. Request required. The reference they say code can be accessed at is not a reference in the paper",0,0
A systematic global stocktake of evidence on human adaptation to climate change,10.1038/s41558-021-01170-y,1758-678X,2021,67,1,"Our a priori methodological protocol is registered (06-12-2019) and available via the OSF website142: https://osf.io/ps6xj. We prepared a series of detailed methods to accompany this paper via the Nature Protocol Exchange, which include: Part 1—Introduction and overview of methods (https://doi.org/10.21203/rs.3.pex-1240/v1)131, Part 2—Screening Protocol (https://doi.org/10.21203/rs.3.pex-1241/v1)132, and Part 3—Coding protocol (https://doi.org/10.21203/rs.3.pex-1242/v1)133. The data presented in this manuscript included survey extraction of information on adaptation from peer-reviewed articles.",0,0,"References to relevant coding are listed in Methods of this manuscript, and include a machine learning platform143 (https://doi.org/10.5281/zenodo.4121525) and reconciliation of codes144 (https://doi.org/10.5281/zenodo.4010763).",0,1,,,It does not appear that the database of codings is available or code for generating figures. Some code appears available and is behind persistent and permanent identifiers,0,0
Observation-based early-warning signals for a collapse of the Atlantic Meridional Overturning Circulation,10.1038/s41558-021-01097-4,1758-678X,2021,67,1,The HadISST reanalysis data used here are publicly available at https://www.metoffice.gov.uk/hadobs/hadisst/. The CMIP5 data are publicly available at https://esgf-node.llnl.gov/projects/cmip5/. The grid cells used to define the subpolar gyre region can be downloaded from http://www.pik-potsdam.de/~caesar/AMOC_slowdown/. Ocean salinity data can be obtained from https://www.metoffice.gov.uk/hadobs/en4/.,0,1,All Python code used for the analysis is available from the author upon request (boers@pik-potsdam.de) or on GitHub at https://github.com/niklasboers/AMOC_EWS.,0,1,,,"Output and processed data not available, raw not at trusted repo. Code is on github but without directories for raw data or processing and outputing data. ",0,0
Climate change decisive for Asia’s snow meltwater supply,10.1038/s41558-021-01074-x,1758-678X,2021,66,1,"Data generated by this study are available online for download at https://doi.org/10.5281/zenodo.4715786. This includes daily 0.05° grids for 1979–2019, EOC projections and the bottom-up elasticity output for both SWE and snowmelt. Additional model outputs and derivatives are available from the authors upon request. Pre-processed input data to run the snow model are available at https://doi.org/10.5281/zenodo.4715955. Precipitation and temperature fields from ERA5 reanalysis data29 used in this study are available from the Copernicus Climate Data Store at https://cds.climate.copernicus.eu/. CMIP6 data44 used in this study are available at https://pcmdi.llnl.gov/CMIP6/. MODIS snow cover data77 are available at https://nsidc.org/data/MOD10A1/versions/6, land surface temperature data83 at https://doi.org/10.5067/MODIS/MOD11A2.006 and water mask80 at https://doi.org/10.5067/MODIS/MOD44W.006. SRTM elevation data81 are available at https://srtm.csi.cgiar.org/. HydroSHEDS basin outlines24 are available from https://www.hydrosheds.org/. Glacier outlines from the Randolph Glacier Invertory101 are available at https://www.glims.org/RGI/.",0,1,Code for the snow model presented in this study is available at https://doi.org/10.5281/zenodo.4715953. Code for the glacier model9 is available at https://doi.org/10.5281/zenodo.2548689. Other code is available from the authors upon request.,0,1,,,Indicate that some data produced needs to be requested from the authors. Also indicate some code needs to be requested,0,0
Aerosols in current and future Arctic climate,10.1038/s41558-020-00969-5,1758-678X,2021,66,1,,,,,,,1,Perspective piece,,0,0
Winter melt trends portend widespread declines in snow water resources,10.1038/s41558-021-01014-9,1758-678X,2021,62,1,Data used in this paper are publicly available and fully citable at https://doi.org/10.5281/zenodo.4546865.,1,1,The MATLAB code used to conduct the analysis and create figures is publicly available and fully citable at https://doi.org/10.5281/zenodo.4546596.,1,1,,,They write that all is available. Code is in matlab nut I don't see anything in Top Factor about open language nec.,0,0
Extreme sea levels at different global warming levels,10.1038/s41558-021-01127-1,1758-678X,2021,59,1,Datasets containing ESLs and SLRC matched for this study are available from https://github.com/DOE-ICoM/tebaldi-etal_2021_natclimchange. Data from the Hurricane Research Division of the National Oceanic and Atmospheric Administration are available at http://www.aoml.noaa.gov/hrd/hurdat/Data_Storm.html; data from the Joint Typhoon Warning Center are available at https://www.metoc.navy.mil/jtwc/jtwc.html?best-tracks/ and the UNISYS database is available at https://cmr.earthdata.nasa.gov/search/concepts/C1214612507-SCIOPS. The University of Hawaii Sea Level Center data are available at https://doi.org/10.7289/V5V40S7W. The Permanent Service for Mean Sea Level data are available at https://www.psmsl.org.,0,1,The R code72 used for the analysis and graphics of this paper is available from https://github.com/DOE-ICoM/tebaldi-etal_2021_natclimchange.,0,1,,,They even have reproducibility instructions for processing and analyzing data in the github link but it doesn't meet the criteria,0,0
Future increases in Arctic lightning and fire risk for permafrost carbon,10.1038/s41558-021-01011-y,1758-678X,2021,59,1,"The LIS/OTD lightning data products are from the NASA Global Hydrology Resource Center website (https://lightning.nsstc.nasa.gov/data/data_lis-otd-climatology.html), the CMIP5 meteorological data are from the Earth System Grid Federation (https://esgf-node.llnl.gov/search/cmip5/) and the burned-area data are from the Global Fire Emissions Database (http://www.globalfiredata.org/), the Alaska Interagency Coordination Center (https://fire.ak.blm.gov) and the Canadian Wildland Fire Information System (http://cwfis.cfs.nrcan.gc.ca/). Other data supporting the findings of this study are available within the paper and its supplementary information files. Source data are provided with this paper.",0,1,The code used for the lightning and burned area analysis is available from the corresponding author upon request.,0,0,,,"Not all data procesing/outputs, and code request required",0,0
No projected global drylands expansion under greenhouse warming,10.1038/s41558-021-01007-8,1758-678X,2021,59,1,"All climate model simulations used in the Article are from CMIP5 and are publicly available—for instance, at https://esgf-node.llnl.gov/search/cmip5/. All ISIMIP simulations are freely available as well—for example, at https://esg.pik-potsdam.de/search/isimip/. All calculated data generated from these sources are available from the corresponding author upon request.",0,1,The custom R code written to read and analyse the data and generate the figures is available on GitHub at https://doi.org/10.5281/zenodo.4490414 (ref. 51).,1,1,,,,0,0
Observed increases in extreme fire weather driven by atmospheric humidity and temperature,10.1038/s41558-021-01224-1,1758-678X,2022,58,1,"The hourly ERA5 data used for this study are available at https://doi.org/10.24381/cds.adbb2d47. The fire weather metrics derived for the period 1979–2020 that support the findings of this study are available from https://doi.org/10.5281/zenodo.5567021 (daily ISI and FWI) and https://doi.org/10.5281/zenodo.5567062 (daily maximum VPD). Global mean land-surface temperatures are available from the NOAA National Centers for Environmental information, Climate at a Glance: Global Time Series (published July 2021), at https://www.ncdc.noaa.gov/cag/. The global biomes used in this study are available at https://www.worldwildlife.org/publications/terrestrial-ecoregions-of-the-world and land-cover data are available at https://doi.org/10.5067/MODIS/MCD12Q1.006.",0,1,,0,0,,,No code availability statement,0,0
The importance of warm habitat to the growth regime of cold-water fishes,10.1038/s41558-021-00994-y,1758-678X,2021,55,1,"The Oregon stream temperatures used in Fig. 1 were sourced from 58 sites monitored by the Oregon Department of Environmental Quality and 17 sites monitored by The United States Geological Survey. These data are publicly available at https://www.oregon.gov/deq/wq/Pages/WQdata.aspx and https://waterdata.usgs.gov/nwis/sw, respectively. The water temperature data used in Figs. 2–4 are posted on GitHub at https://github.com/chris3jordan/Growth-Potential.",0,1,The code for processing water temperature and growth potential data for Figs. 2–4 is posted on GitHub at https://github.com/chris3jordan/Growth-Potential. The code for the numerical simulation is posted on GitHub at https://github.com/aimeefullerton/growth_regime_IBM.,0,1,,,,0,0
