"Journal Data Filtered By:  Selected Categories: ENVIRONMENTAL SCIENCES Selected Editions: SCIE Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Environmental Science and Ecotechnology","ENVIRON SCI ECOTECH","2666-4984","2666-4984","ENVIRONMENTAL SCIENCES - SCIE","1,071","12.6","Q1","1.62","91.45"%,
"CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY","CRIT REV ENV SCI TEC","1064-3389","1547-6537","ENVIRONMENTAL SCIENCES - SCIE","11,639","12.6","Q1","0.75","8.72"%,
"ENVIRONMENT INTERNATIONAL","ENVIRON INT","0160-4120","1873-6750","ENVIRONMENTAL SCIENCES - SCIE","64,072","11.8","Q1","1.91","95.82"%,
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","1354-1013","1365-2486","ENVIRONMENTAL SCIENCES - SCIE","67,135","11.6","Q1","2.42","28.88"%,
"npj Clean Water","NPJ CLEAN WATER","2059-7037","2059-7037","ENVIRONMENTAL SCIENCES - SCIE","1,884","11.4","Q1","1.75","99.33"%,
"ENVIRONMENTAL SCIENCE & TECHNOLOGY","ENVIRON SCI TECHNOL","0013-936X","1520-5851","ENVIRONMENTAL SCIENCES - SCIE","249,801","11.4","Q1","1.41","8.88"%,
"Trends in Environmental Analytical Chemistry","TRENDS ENVIRON ANAL","2214-1588","2214-1588","ENVIRONMENTAL SCIENCES - SCIE","1,486","11.2","Q1","1.28","11.4"%,
"Journal of Cleaner Production","J CLEAN PROD","0959-6526","1879-1786","ENVIRONMENTAL SCIENCES - SCIE","295,285","11.1","Q1","1.53","7.82"%,
"Environmental Science & Technology Letters","ENVIRON SCI TECH LET","2328-8930","N/A","ENVIRONMENTAL SCIENCES - SCIE","9,320","10.9","Q1","1.4","12.29"%,
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","0091-6765","1552-9924","ENVIRONMENTAL SCIENCES - SCIE","44,887","10.4","Q1","2.29","94.09"%,
"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","FRONT ECOL ENVIRON","1540-9295","1540-9309","ENVIRONMENTAL SCIENCES - SCIE","13,393","10.3","Q1","1.84","47.09"%,
"Science of The Total Environment","SCI TOTAL ENVIRON","0048-9697","1879-1026","ENVIRONMENTAL SCIENCES - SCIE","372,214","9.8","Q1","1.67","11.67"%,
"Energy Policy","ENERG POLICY","0301-4215","1873-6777","ENVIRONMENTAL SCIENCES - SCIE","71,939","9","Q1","1.83","18.79"%,
"GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS","GLOBAL ENVIRON CHANG","0959-3780","1872-9495","ENVIRONMENTAL SCIENCES - SCIE","24,808","8.9","Q1","2.38","41.69"%,
"ENVIRONMENTAL POLLUTION","ENVIRON POLLUT","0269-7491","1873-6424","ENVIRONMENTAL SCIENCES - SCIE","126,613","8.9","Q1","1.54","7.62"%,
"Chemosphere","CHEMOSPHERE","0045-6535","1879-1298","ENVIRONMENTAL SCIENCES - SCIE","190,893","8.8","Q1","1.53","4.93"%,
"Journal of Environmental Management","J ENVIRON MANAGE","0301-4797","1095-8630","ENVIRONMENTAL SCIENCES - SCIE","99,689","8.7","Q1","1.45","9.29"%,
"ENVIRONMENTAL RESEARCH","ENVIRON RES","0013-9351","1096-0953","ENVIRONMENTAL SCIENCES - SCIE","58,236","8.3","Q1","1.78","9.72"%,
"Earths Future","EARTHS FUTURE","N/A","2328-4277","ENVIRONMENTAL SCIENCES - SCIE","6,849","8.2","Q1","1.7","70.5"%,
"Wiley Interdisciplinary Reviews-Water","WIRES WATER","2049-1948","2049-1948","ENVIRONMENTAL SCIENCES - SCIE","3,814","8.2","Q1","1.13","35.44"%,
"Waste Management","WASTE MANAGE","0956-053X","1879-2456","ENVIRONMENTAL SCIENCES - SCIE","51,084","8.1","Q1","1.15","11.05"%,
"Communications Earth & Environment","COMMUN EARTH ENVIRON","N/A","2662-4435","ENVIRONMENTAL SCIENCES - SCIE","2,737","7.9","Q1","1.66","99.49"%,
"Ecosystem Services","ECOSYST SERV","2212-0416","2212-0416","ENVIRONMENTAL SCIENCES - SCIE","11,024","7.6","Q1","1.37","31.62"%,
"Water Research X","WATER RES X","N/A","2589-9147","ENVIRONMENTAL SCIENCES - SCIE","900","7.5","Q1","1.38","93.68"%,
"Advances in Climate Change Research","ADV CLIM CHANG RES","1674-9278","1674-9278","ENVIRONMENTAL SCIENCES - SCIE","2,302","7.4","Q1","1.15","92.75"%,
"Current Pollution Reports","CURR POLLUT REP","2198-6592","2198-6592","ENVIRONMENTAL SCIENCES - SCIE","1,943","7.3","Q1","1.19","17.12"%,
"Environmental Science-Nano","ENVIRON SCI-NANO","2051-8153","2051-8161","ENVIRONMENTAL SCIENCES - SCIE","12,512","7.3","Q1","1.11","10.82"%,
"Environmental Innovation and Societal Transitions","ENVIRON INNOV SOC TR","2210-4224","2210-4232","ENVIRONMENTAL SCIENCES - SCIE","4,763","7.2","Q1","1.43","51.83"%,
"JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS","J TOXICOL ENV HEAL B","1093-7404","1521-6950","ENVIRONMENTAL SCIENCES - SCIE","2,313","7.2","Q1","0.83","26.67"%,
"Current Opinion in Environmental Sustainability","CURR OPIN ENV SUST","1877-3435","1877-3443","ENVIRONMENTAL SCIENCES - SCIE","7,971","7.2","Q1","0.8","28.02"%,
"Environmental Technology & Innovation","ENVIRON TECHNOL INNO","2352-1864","2352-1864","ENVIRONMENTAL SCIENCES - SCIE","12,879","7.1","Q1","1.15","33.33"%,
"ECOLOGICAL ECONOMICS","ECOL ECON","0921-8009","1873-6106","ENVIRONMENTAL SCIENCES - SCIE","36,381","7","Q1","1.56","26.49"%,
"Journal of Environmental Informatics","J ENVIRON INFORM","1726-2135","1684-8799","ENVIRONMENTAL SCIENCES - SCIE","868","7","Q1","1.23","0"%,
"Ecological Indicators","ECOL INDIC","1470-160X","1872-7034","ENVIRONMENTAL SCIENCES - SCIE","52,233","6.9","Q1","1.49","84.59"%,
"Journal of Environmental Sciences","J ENVIRON SCI","1001-0742","1878-7320","ENVIRONMENTAL SCIENCES - SCIE","21,628","6.9","Q1","1.24","1.51"%,
"ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","ECOTOX ENVIRON SAFE","0147-6513","1090-2414","ENVIRONMENTAL SCIENCES - SCIE","60,092","6.8","Q1","1.5","71.44"%,
"Environmental Research Letters","ENVIRON RES LETT","1748-9326","1748-9326","ENVIRONMENTAL SCIENCES - SCIE","41,950","6.7","Q1","1.21","98.79"%,
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","AGR ECOSYST ENVIRON","0167-8809","1873-2305","ENVIRONMENTAL SCIENCES - SCIE","33,665","6.6","Q1","1.69","14.26"%,
"AMBIO","AMBIO","0044-7447","1654-7209","ENVIRONMENTAL SCIENCES - SCIE","12,500","6.5","Q1","0.82","58.3"%,
"International Soil and Water Conservation Research","INT SOIL WATER CONSE","2095-6339","2589-059X","ENVIRONMENTAL SCIENCES - SCIE","2,554","6.4","Q1","1.37","85.81"%,
"Urban Climate","URBAN CLIM","2212-0955","2212-0955","ENVIRONMENTAL SCIENCES - SCIE","6,802","6.4","Q1","1.27","10.53"%,
"Frontiers of Environmental Science & Engineering","FRONT ENV SCI ENG","2095-2201","2095-221X","ENVIRONMENTAL SCIENCES - SCIE","5,084","6.4","Q1","0.84","7.99"%,
"CONSERVATION BIOLOGY","CONSERV BIOL","0888-8892","1523-1739","ENVIRONMENTAL SCIENCES - SCIE","23,293","6.3","Q1","1.44","35.86"%,
"ATMOSPHERIC CHEMISTRY AND PHYSICS","ATMOS CHEM PHYS","1680-7316","1680-7324","ENVIRONMENTAL SCIENCES - SCIE","70,858","6.3","Q1","1.33","98.81"%,
"Environmental Health","ENVIRON HEALTH-GLOB","N/A","1476-069X","ENVIRONMENTAL SCIENCES - SCIE","8,741","6","Q1","1.18","100"%,
"ENVIRONMENTAL SCIENCE & POLICY","ENVIRON SCI POLICY","1462-9011","1873-6416","ENVIRONMENTAL SCIENCES - SCIE","15,149","6","Q1","1.04","32.23"%,
"Sustainability Science","SUSTAIN SCI","1862-4065","1862-4057","ENVIRONMENTAL SCIENCES - SCIE","6,554","6","Q1","1","59.31"%,
"Sustainable Chemistry and Pharmacy","SUSTAIN CHEM PHARM","N/A","2352-5541","ENVIRONMENTAL SCIENCES - SCIE","3,232","6","Q1","0.86","4.2"%,
"Reviews of Environmental Contamination and Toxicology","REV ENVIRON CONTAM T","0179-5953","2197-6554","ENVIRONMENTAL SCIENCES - SCIE","3,028","6","Q1","0.69","12.2"%,
"BIOLOGICAL CONSERVATION","BIOL CONSERV","0006-3207","1873-2917","ENVIRONMENTAL SCIENCES - SCIE","39,641","5.9","Q1","1.42","20.23"%,
"JOURNAL OF INDUSTRIAL ECOLOGY","J IND ECOL","1088-1980","1530-9290","ENVIRONMENTAL SCIENCES - SCIE","9,153","5.9","Q1","0.94","39.45"%,
"Environmental Sciences Europe","ENVIRON SCI EUR","2190-4707","2190-4715","ENVIRONMENTAL SCIENCES - SCIE","3,946","5.9","Q1","0.91","100"%,
"Marine Pollution Bulletin","MAR POLLUT BULL","0025-326X","1879-3363","ENVIRONMENTAL SCIENCES - SCIE","61,211","5.8","Q1","1.48","11.09"%,
"ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","ENVIRON SCI POLLUT R","0944-1344","1614-7499","ENVIRONMENTAL SCIENCES - SCIE","144,871","5.8","Q1","0.92","5.42"%,
"ENVIRONMENTAL AND EXPERIMENTAL BOTANY","ENVIRON EXP BOT","0098-8472","1873-7307","ENVIRONMENTAL SCIENCES - SCIE","18,946","5.7","Q2","1.25","6.88"%,
"ENVIRONMENTAL REVIEWS","ENVIRON REV","1208-6053","1181-8700","ENVIRONMENTAL SCIENCES - SCIE","3,234","5.7","Q2","0.39","24.59"%,
"APPLIED CATALYSIS A-GENERAL","APPL CATAL A-GEN","0926-860X","1873-3875","ENVIRONMENTAL SCIENCES - SCIE","38,908","5.5","Q2","0.85","5.71"%,
"Environmental Science-Processes & Impacts","ENVIRON SCI-PROC IMP","2050-7887","2050-7895","ENVIRONMENTAL SCIENCES - SCIE","7,213","5.5","Q2","0.84","25.2"%,
"WATER RESOURCES RESEARCH","WATER RESOUR RES","0043-1397","1944-7973","ENVIRONMENTAL SCIENCES - SCIE","68,892","5.4","Q2","1.29","23.91"%,
"Environmental Development","ENVIRON DEV","2211-4645","2211-4653","ENVIRONMENTAL SCIENCES - SCIE","2,663","5.4","Q2","0.79","15.71"%,
"GLOBAL BIOGEOCHEMICAL CYCLES","GLOBAL BIOGEOCHEM CY","0886-6236","1944-9224","ENVIRONMENTAL SCIENCES - SCIE","17,494","5.2","Q2","1.26","31.51"%,
"AEROSOL SCIENCE AND TECHNOLOGY","AEROSOL SCI TECH","0278-6826","1521-7388","ENVIRONMENTAL SCIENCES - SCIE","8,417","5.2","Q2","0.8","20.2"%,
"Air Quality Atmosphere and Health","AIR QUAL ATMOS HLTH","1873-9318","1873-9326","ENVIRONMENTAL SCIENCES - SCIE","4,190","5.1","Q2","0.85","13"%,
"ECOLOGICAL APPLICATIONS","ECOL APPL","1051-0761","1939-5582","ENVIRONMENTAL SCIENCES - SCIE","22,932","5","Q2","1.13","24.56"%,
"ATMOSPHERIC ENVIRONMENT","ATMOS ENVIRON","1352-2310","1873-2844","ENVIRONMENTAL SCIENCES - SCIE","68,155","5","Q2","1.06","9.29"%,
"Remote Sensing","REMOTE SENS-BASEL","N/A","2072-4292","ENVIRONMENTAL SCIENCES - SCIE","112,665","5","Q2","1.02","99.43"%,
"Environmental Science-Water Research & Technology","ENVIRON SCI-WAT RES","2053-1400","2053-1419","ENVIRONMENTAL SCIENCES - SCIE","5,866","5","Q2","0.79","14.94"%,
"ENVIRONMENTAL MODELLING & SOFTWARE","ENVIRON MODELL SOFTW","1364-8152","1873-6726","ENVIRONMENTAL SCIENCES - SCIE","18,467","4.9","Q2","0.94","25.14"%,
"Ecosystem Health and Sustainability","ECOSYST HEALTH SUST","2096-4129","2332-8878","ENVIRONMENTAL SCIENCES - SCIE","1,125","4.9","Q2","0.78","94.74"%,
"ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY","ENVIRON DEV SUSTAIN","1387-585X","1573-2975","ENVIRONMENTAL SCIENCES - SCIE","13,157","4.9","Q2","0.73","8"%,
"NanoImpact","NANOIMPACT","2452-0748","2452-0748","ENVIRONMENTAL SCIENCES - SCIE","1,845","4.9","Q2","0.69","23.43"%,
"Sustainable Environment Research","SUSTAIN ENVIRON RES","2468-2039","2468-2039","ENVIRONMENTAL SCIENCES - SCIE","1,748","4.9","Q2","0.59","100"%,
"GeoHealth","GEOHEALTH","2471-1403","2471-1403","ENVIRONMENTAL SCIENCES - SCIE","1,119","4.8","Q2","1.06","62.75"%,
"CLIMATIC CHANGE","CLIMATIC CHANGE","0165-0009","1573-1480","ENVIRONMENTAL SCIENCES - SCIE","25,615","4.8","Q2","0.92","37.63"%,
"INTERNATIONAL BIODETERIORATION & BIODEGRADATION","INT BIODETER BIODEGR","0964-8305","1879-0208","ENVIRONMENTAL SCIENCES - SCIE","14,058","4.8","Q2","0.92","6.82"%,
"Ecological Processes","ECOL PROCESS","N/A","2192-1709","ENVIRONMENTAL SCIENCES - SCIE","1,882","4.8","Q2","0.85","99.5"%,
"INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT","INT J LIFE CYCLE ASS","0948-3349","1614-7502","ENVIRONMENTAL SCIENCES - SCIE","11,053","4.8","Q2","0.62","39.36"%,
"LAND DEGRADATION & DEVELOPMENT","LAND DEGRAD DEV","1085-3278","1099-145X","ENVIRONMENTAL SCIENCES - SCIE","11,512","4.7","Q2","0.86","4.67"%,
"Toxics","TOXICS","N/A","2305-6304","ENVIRONMENTAL SCIENCES - SCIE","4,146","4.6","Q2","0.79","99.76"%,
"Frontiers in Environmental Science","FRONT ENV SCI-SWITZ","N/A","2296-665X","ENVIRONMENTAL SCIENCES - SCIE","10,893","4.6","Q2","0.68","99.67"%,
"Journal of Exposure Science and Environmental Epidemiology","J EXPO SCI ENV EPID","1559-0631","1559-064X","ENVIRONMENTAL SCIENCES - SCIE","6,073","4.5","Q2","1.22","27.79"%,
"ENVIRONMENTAL TOXICOLOGY","ENVIRON TOXICOL","1520-4081","1522-7278","ENVIRONMENTAL SCIENCES - SCIE","7,286","4.5","Q2","0.96","1.91"%,
"JOURNAL OF AEROSOL SCIENCE","J AEROSOL SCI","0021-8502","1879-1964","ENVIRONMENTAL SCIENCES - SCIE","8,789","4.5","Q2","0.96","21.88"%,
"Atmospheric Pollution Research","ATMOS POLLUT RES","1309-1042","1309-1042","ENVIRONMENTAL SCIENCES - SCIE","6,838","4.5","Q2","0.86","7.65"%,
"Climate Risk Management","CLIM RISK MANAG","2212-0963","2212-0963","ENVIRONMENTAL SCIENCES - SCIE","2,166","4.4","Q2","0.99","98.02"%,
"Environmental Toxicology and Pharmacology","ENVIRON TOXICOL PHAR","1382-6689","1872-7077","ENVIRONMENTAL SCIENCES - SCIE","10,445","4.3","Q2","1.21","5.03"%,
"HUMAN AND ECOLOGICAL RISK ASSESSMENT","HUM ECOL RISK ASSESS","1080-7039","1549-7860","ENVIRONMENTAL SCIENCES - SCIE","5,347","4.3","Q2","1.08","1.82"%,
"Clean Technologies and Environmental Policy","CLEAN TECHNOL ENVIR","1618-954X","1618-9558","ENVIRONMENTAL SCIENCES - SCIE","6,679","4.3","Q2","0.58","10.36"%,
"Environmental Chemistry","ENVIRON CHEM","1448-2517","1449-8979","ENVIRONMENTAL SCIENCES - SCIE","3,610","4.3","Q2","0.52","19.33"%,
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","STOCH ENV RES RISK A","1436-3240","1436-3259","ENVIRONMENTAL SCIENCES - SCIE","6,285","4.2","Q2","0.97","13.75"%,
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH","ENVIRON GEOCHEM HLTH","0269-4042","1573-2983","ENVIRONMENTAL SCIENCES - SCIE","9,065","4.2","Q2","0.84","9.51"%,
"Regional Environmental Change","REG ENVIRON CHANGE","1436-3798","1436-378X","ENVIRONMENTAL SCIENCES - SCIE","7,831","4.2","Q2","0.8","40.83"%,
"Journal of Flood Risk Management","J FLOOD RISK MANAG","1753-318X","1753-318X","ENVIRONMENTAL SCIENCES - SCIE","2,563","4.1","Q2","0.82","76.89"%,
"ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","ENVIRON TOXICOL CHEM","0730-7268","1552-8618","ENVIRONMENTAL SCIENCES - SCIE","21,979","4.1","Q2","0.77","20.84"%,
"BIOGEOCHEMISTRY","BIOGEOCHEMISTRY","0168-2563","1573-515X","ENVIRONMENTAL SCIENCES - SCIE","12,645","4","Q2","0.87","31.37"%,
"ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY","ARCH ENVIRON CON TOX","0090-4341","1432-0703","ENVIRONMENTAL SCIENCES - SCIE","8,178","4","Q2","0.74","10.81"%,
"Aerosol and Air Quality Research","AEROSOL AIR QUAL RES","1680-8584","2071-1409","ENVIRONMENTAL SCIENCES - SCIE","7,418","4","Q2","0.73","98.79"%,
"Utilities Policy","UTIL POLICY","0957-1787","1878-4356","ENVIRONMENTAL SCIENCES - SCIE","2,819","4","Q2","0.68","10.81"%,
"Mitigation and Adaptation Strategies for Global Change","MITIG ADAPT STRAT GL","1381-2386","1573-1596","ENVIRONMENTAL SCIENCES - SCIE","3,591","4","Q2","0.67","23.08"%,
"Journal of Soil Science and Plant Nutrition","J SOIL SCI PLANT NUT","0718-9508","0718-9516","ENVIRONMENTAL SCIENCES - SCIE","5,607","3.9","Q2","0.81","6.73"%,
"Elementa-Science of the Anthropocene","ELEMENTA-SCI ANTHROP","2325-1026","2325-1026","ENVIRONMENTAL SCIENCES - SCIE","2,722","3.9","Q2","0.7","98.58"%,
"Sustainability","SUSTAINABILITY-BASEL","N/A","2071-1050","ENVIRONMENTAL SCIENCES - SCIE","187,953","3.9","Q2","0.68","99.36"%,
"WASTE MANAGEMENT & RESEARCH","WASTE MANAGE RES","0734-242X","1096-3669","ENVIRONMENTAL SCIENCES - SCIE","7,578","3.9","Q2","0.48","14.12"%,
"REVIEWS ON ENVIRONMENTAL HEALTH","REV ENVIRON HEALTH","0048-7554","2191-0308","ENVIRONMENTAL SCIENCES - SCIE","2,303","3.9","Q2","0.47","14.75"%,
"ENVIRONMENTAL AND ECOLOGICAL STATISTICS","ENVIRON ECOL STAT","1352-8505","1573-3009","ENVIRONMENTAL SCIENCES - SCIE","1,204","3.8","Q2","1.12","14.02"%,
"Geocarto International","GEOCARTO INT","1010-6049","1752-0762","ENVIRONMENTAL SCIENCES - SCIE","5,332","3.8","Q2","0.73","4.18"%,
"ECOLOGICAL ENGINEERING","ECOL ENG","0925-8574","1872-6992","ENVIRONMENTAL SCIENCES - SCIE","23,129","3.8","Q2","0.71","9.83"%,
"Carbon Balance and Management","CARBON BAL MANAGE","1750-0680","1750-0680","ENVIRONMENTAL SCIENCES - SCIE","1,064","3.8","Q2","0.59","100"%,
"Geobiology","GEOBIOLOGY","1472-4677","1472-4669","ENVIRONMENTAL SCIENCES - SCIE","2,719","3.7","Q2","0.89","24.18"%,
"Journal of Geophysical Research-Biogeosciences","J GEOPHYS RES-BIOGEO","2169-8953","2169-8961","ENVIRONMENTAL SCIENCES - SCIE","13,183","3.7","Q2","0.83","18.69"%,
"INTERNATIONAL JOURNAL OF PHYTOREMEDIATION","INT J PHYTOREMEDIAT","1522-6514","1549-7879","ENVIRONMENTAL SCIENCES - SCIE","5,576","3.7","Q2","0.61","1.41"%,
"JOURNAL OF CONTAMINANT HYDROLOGY","J CONTAM HYDROL","0169-7722","1873-6009","ENVIRONMENTAL SCIENCES - SCIE","6,476","3.6","Q2","0.89","10.76"%,
"Anthropocene","ANTHROPOCENE","2213-3054","2213-3054","ENVIRONMENTAL SCIENCES - SCIE","1,228","3.6","Q2","0.84","21.5"%,
"International Journal of Sediment Research","INT J SEDIMENT RES","1001-6279","1001-6279","ENVIRONMENTAL SCIENCES - SCIE","2,030","3.6","Q2","0.78","0"%,
"JOURNAL OF SOILS AND SEDIMENTS","J SOIL SEDIMENT","1439-0108","1614-7480","ENVIRONMENTAL SCIENCES - SCIE","10,836","3.6","Q2","0.71","10.83"%,
"BioEnergy Research","BIOENERG RES","1939-1234","1939-1242","ENVIRONMENTAL SCIENCES - SCIE","3,985","3.6","Q2","0.51","8.47"%,
"ENVIRONMENT","ENVIRONMENT","0013-9157","1939-9154","ENVIRONMENTAL SCIENCES - SCIE","1,503","3.5","Q2","0.63","20"%,
"ENVIRONMENTAL MANAGEMENT","ENVIRON MANAGE","0364-152X","1432-1009","ENVIRONMENTAL SCIENCES - SCIE","12,444","3.5","Q2","0.6","25.86"%,
"Environmental Engineering Research","ENVIRON ENG RES","1226-1025","2005-968X","ENVIRONMENTAL SCIENCES - SCIE","2,146","3.5","Q2","0.49","93.24"%,
"BIOMEDICAL AND ENVIRONMENTAL SCIENCES","BIOMED ENVIRON SCI","0895-3988","2214-0190","ENVIRONMENTAL SCIENCES - SCIE","3,289","3.5","Q2","0.47","0"%,
"BIODIVERSITY AND CONSERVATION","BIODIVERS CONSERV","0960-3115","1572-9710","ENVIRONMENTAL SCIENCES - SCIE","14,293","3.4","Q2","0.75","31.16"%,
"Food and Environmental Virology","FOOD ENVIRON VIROL","1867-0334","1867-0342","ENVIRONMENTAL SCIENCES - SCIE","1,367","3.4","Q2","0.68","19.23"%,
"Water","WATER-SUI","N/A","2073-4441","ENVIRONMENTAL SCIENCES - SCIE","52,504","3.4","Q2","0.67","99.38"%,
"Chinese Geographical Science","CHINESE GEOGR SCI","1002-0063","1993-064X","ENVIRONMENTAL SCIENCES - SCIE","3,020","3.4","Q2","0.58","54.94"%,
"Journal of Environmental Health Science and Engineering","J ENVIRON HEALTH SCI","N/A","2052-336X","ENVIRONMENTAL SCIENCES - SCIE","3,104","3.4","Q2","0.42","8.17"%,
"MARINE ENVIRONMENTAL RESEARCH","MAR ENVIRON RES","0141-1136","1879-0291","ENVIRONMENTAL SCIENCES - SCIE","9,393","3.3","Q3","0.87","13.51"%,
"Arctic Science","ARCT SCI","N/A","2368-7460","ENVIRONMENTAL SCIENCES - SCIE","673","3.3","Q3","0.67","96.4"%,
"NATURAL RESOURCES FORUM","NAT RESOUR FORUM","0165-0203","1477-8947","ENVIRONMENTAL SCIENCES - SCIE","1,342","3.3","Q3","0.62","13.04"%,
"Environmental Microbiology Reports","ENV MICROBIOL REP","1758-2229","1758-2229","ENVIRONMENTAL SCIENCES - SCIE","4,488","3.3","Q3","0.58","20.41"%,
"Environmental Pollutants and Bioavailability","ENV POLLUT BIOAVAIL","2639-5932","2639-5940","ENVIRONMENTAL SCIENCES - SCIE","356","3.3","Q3","0.54","98.23"%,
"Environmental Evidence","ENVIRON EVID","N/A","2047-2382","ENVIRONMENTAL SCIENCES - SCIE","1,239","3.3","Q3","0.44","100"%,
"INTERNATIONAL JOURNAL OF BIOMETEOROLOGY","INT J BIOMETEOROL","0020-7128","1432-1254","ENVIRONMENTAL SCIENCES - SCIE","9,515","3.2","Q3","0.76","19.36"%,
"Climate Services","CLIM SERV","2405-8807","2405-8807","ENVIRONMENTAL SCIENCES - SCIE","936","3.2","Q3","0.74","95.92"%,
"INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH","INT J ENVIRON HEAL R","0960-3123","1369-1619","ENVIRONMENTAL SCIENCES - SCIE","2,737","3.2","Q3","0.66","7.47"%,
"International Journal of Environmental Research","INT J ENVIRON RES","1735-6865","2008-2304","ENVIRONMENTAL SCIENCES - SCIE","2,301","3.2","Q3","0.56","7.69"%,
"Waste and Biomass Valorization","WASTE BIOMASS VALORI","1877-2641","1877-265X","ENVIRONMENTAL SCIENCES - SCIE","8,711","3.2","Q3","0.56","10.54"%,
"Carbon Management","CARBON MANAG","1758-3004","1758-3012","ENVIRONMENTAL SCIENCES - SCIE","1,713","3.1","Q3","0.59","29.5"%,
"Integrated Environmental Assessment and Management","INTEGR ENVIRON ASSES","1551-3777","1551-3793","ENVIRONMENTAL SCIENCES - SCIE","3,792","3.1","Q3","0.58","26.52"%,
"Journal of Material Cycles and Waste Management","J MATER CYCLES WASTE","1438-4957","1611-8227","ENVIRONMENTAL SCIENCES - SCIE","4,701","3.1","Q3","0.52","7.49"%,
"WATER ENVIRONMENT RESEARCH","WATER ENVIRON RES","1061-4303","1554-7531","ENVIRONMENTAL SCIENCES - SCIE","5,231","3.1","Q3","0.52","4.14"%,
